Taxonomy	PRK01002	SMG01004	SMG01005	LPK01006	RRM01008	RSM01009	MSY01012	YRB01013	MML01014	RRG01015	AEO01016	AR001017	EMS01018	APA01019	MRK01020	SSM01021	TSY01022	DBM01024	VHW01025	SMG01026	KSS01027	KRL01028	PBB01029	DLD01030	PDD01031
Prevotella_copri	0.105125656318499	0.08589488708773	0.0320512820512821	0.00741703624407402	0.29842738441148	0.452604883519396	0.0617958913187541	0.20446551460468	0.322590100423102	0.019638578783708	0.00582403017790692	0.01729367385431	0.119029413264006	0.0740556660039761	0.313541825967273	0.0907886017229954	0.215578324922261	0.0283300198807157	0.231342712953051	0.223658051689861	0.00643574450731508	0.125223020849263	0.0793317020951216	0.498993220166182	0.39603405209767
Lactobacillus_ruminis	0.00324973237498088	0.000305857164704083	0.000509761941173472	0.00209002395881124	0.00132538104705103	0.0117245246469899	8.92083397053576e-05	0.00504664321761737	0.057781516032013	0.00372126217056635	0.423981750522506	0.00518682775144008	0.00504664321761737	0.00633379211908039	0.00458785747056125	0.000471529795585462	0.00192435132792986	0.008589488708773	0.00276545853086609	0.000981291736758934	0.0677218738848958	0.00063720242646684	0.0285849008513024	0.00347912524850895	0.00457511342203191
Bacteroides_plebeius	0.302989753784982	0.0210786562675231	0.00347912524850895	0.208288729163481	0.0115715960646378	0.0116353163072845	0.00289289901615945	0.00266350614263139	0.0110745781719937	0.237447112198603	0.00842381607789162	0.00611714329408166	0.0126803282866901	0.00940510781465056	0.00338991690880359	0	0.00166947035734312	0.156955701687312	0.00235764897792731	0.000203904776469389	0.00118519651322832	0.00354284549115563	0.00031860121323342	0.00768466126319009	0.0156496915940256
Bacteroides_coprocola	0.0323443951674568	0.000293113116174746	0.000586226232349493	0.0237676505072131	0.00155477392057909	0.00210276800734057	0.000382321455880104	0.00184788703675384	0.00721313146760463	0.198284651067951	0.00127440485293368	0.00229392873528062	0.00438395269409186	0.00449864913085589	0.00184788703675384	0	0.00138910128969771	0.0486567772850079	0.00191160727940052	0.000344089310292094	0.000866595299994902	0.00307131569557017	0.000446041698526788	0.0165162868940205	0.00252332160880869
Dialister_sp.	0	0	0.000930315542641586	0	0	0.000624458377937503	0.000216648824998726	0.0810394045980527	0.182418310648927	0.0226334301881022	0.00091757149411225	0.000739154814701534	0.0011087322220523	0.0014528215323444	0.00333894071468624	0	0.000433297649997451	0.00317326808380486	0.00161849416322577	0.00172044655146047	0.00211551205586991	0.000331345261762757	0	0	0
Lactobacillus_porci	0.00059897028087883	0.000267625019116073	0.00031860121323342	0.000344089310292094	0.000624458377937503	0.112772085436101	0.000216648824998726	0	0	0	0	0	0	0	0	0	0	0.00370851812203701	0	0	0	0	0	0	0
Lactobacillus_gasseri	0.000458785747056125	0.000191160727940052	0.000140184533822705	0.000254880970586736	0.000344089310292094	0.0310827343630525	0.000140184533822705	0.00140184533822705	0.0017331905999898	0.000547994086761482	0.000790131008818882	0.0884819289391854	0.00118519651322832	0.00101952388234694	0.000841107202936229	0	0.000369577407350767	0.00298210735586481	0.000764642911760208	0	3.82321455880104e-05	0	0	0.00193709537645919	7.64642911760208e-05
Bacteroides_coprophilus	0.000254880970586736	8.92083397053576e-05	0.000140184533822705	0.0165162868940205	0.000446041698526788	0.000726410766172198	0.000101952388234694	0.000407809552938778	0.000293113116174746	0.0608400876790539	0.000191160727940052	0.00035683335882143	0.000649946474996177	0.00101952388234694	0.000497017892644135	0	0.000344089310292094	0.00063720242646684	0.000458785747056125	0	0	0.0011087322220523	0	0	0
Prevotellaceae_bacterium	0.00421828006321048	0.000649946474996177	0.000535250038232146	0.000981291736758934	0.0017331905999898	0.00028036906764541	0.0603303257378804	0.00756996482642606	0.00035683335882143	0.00105775602793495	0.00191160727940052	0.000497017892644135	0.0537798847938013	0.00512310750879339	0.00880613753377173	0	0.0014528215323444	0.000777386960289545	0.0102334709690575	0.00804149462201152	8.92083397053576e-05	0.000191160727940052	0.0187337513381251	0.000127440485293368	0.00722587551613397
Lactobacillus_johnsonii	0	0	0	0	0	0	0	0.000305857164704083	0.000509761941173472	0.000305857164704083	0.000369577407350767	0.0581510934393638	0.000331345261762757	0.000369577407350767	0.000331345261762757	0	0	0.000560738135290819	0	0	0	0	0	0.0013508691441097	0
Lactobacillus_mucosae	0.00105775602793495	0.000242136922057399	0.000293113116174746	0.000229392873528062	0.000879339348524239	0.056379670693786	0.000140184533822705	0.0014528215323444	0.00683081001172452	0.000229392873528062	0.00112147627058164	0.0357088239792017	0.000815619105877555	0.000382321455880104	0.000662690523525514	0	0.00150379772646174	0.00305857164704083	0.000369577407350767	0	0.000152928582352042	2.54880970586736e-05	0.00028036906764541	0.000815619105877555	0.000127440485293368
Bacteroides_caccae	0.0160702451954937	0.00448590508232655	0.000420553601468114	0.000586226232349493	0.00570933374114289	0.00214100015292858	0.000293113116174746	0.00382321455880104	0.00100677983381761	0.00203904776469389	0.000152928582352042	0.0039124228985064	0.00200081561910588	0.00953254829994393	0.00109598817352296	0	0.000713666717642861	0.0525054799408676	0.000649946474996177	0.000382321455880104	0.000216648824998726	0.00741703624407402	8.92083397053576e-05	0.00495743487791201	0.00712392312789927
Alistipes_finegoldii	0.000968547688229597	0.000305857164704083	0.000815619105877555	0.036932252638018	0.000649946474996177	0.000229392873528062	0.00028036906764541	0	5.09761941173472e-05	0	0	0	7.64642911760208e-05	0	0.00031860121323342	0	0	0	0	7.64642911760208e-05	0	0	0	0.00059897028087883	0.00128714890146302
Prevotella_stercorea	0.00144007748381506	0.000420553601468114	0.0356196156394964	0.000433297649997451	0.000662690523525514	0	0.000382321455880104	0.0075827088749554	0.000229392873528062	0.000547994086761482	0.000101952388234694	0.000216648824998726	0.012336238976398	0.00749350053525004	0.00363205383086099	0.00251057756027935	0.000497017892644135	0.000560738135290819	0.00509761941173472	0.00601519090584697	0	6.3720242646684e-05	0.000101952388234694	8.92083397053576e-05	0.00149105367793241
Parabacteroides_merdae	0.0206326145689963	0.0025615537543967	0.00888260182494775	0.0348422286792068	0.0020772799102819	0.00100677983381761	0.000586226232349493	0.00428200030585716	0.00160575011469644	0.000395065504409441	0.000700922669113524	0.000700922669113524	0.00103226793087628	0.000853851251465566	0.00119794056175766	0.000140184533822705	0.000293113116174746	0.000509761941173472	0.000178416679410715	0.00031860121323342	8.92083397053576e-05	0.000968547688229597	0.00118519651322832	0.00216648824998726	0.00377223836468369
Dialister_succinatiphilus	0.0317581689351073	0	0	0.00958352449406127	0.0178671560381302	0.00943059591170923	0	0	0	0	0.00411632767497579	0	0.00137635724116837	0	0	0	0	0.000751898863230871	0	0	0	0	0.00313503593821685	0	0.00263801804557272
Bacteroides_uniformis	0.000751898863230871	0.000433297649997451	0	0.0314905439159912	0.000573482183820156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000509761941173472
Prevotellaceae_bacterium_2	0.00128714890146302	0	0.000101952388234694	0	0	0	0.00028036906764541	0.00230667278380996	0	0.00067543457205485	0.000114696436764031	0.000101952388234694	0.0306239486159963	0.00107050007646429	0.00456236937350257	0.00424376816026915	0.000802875057348218	0.000624458377937503	0.0222383646836927	0.015777132079319	6.3720242646684e-05	7.64642911760208e-05	8.92083397053576e-05	0.000101952388234694	0.00336442881174492
Bacteroides_stercoris	0.00193709537645919	0.00124891675587501	0.000841107202936229	0.0301651628689402	0.00113422031911098	0.000535250038232146	0.000216648824998726	0.000547994086761482	0.000254880970586736	0.0161849416322577	6.3720242646684e-05	0.000152928582352042	0.000267625019116073	0.000700922669113524	0.000216648824998726	0	0.000127440485293368	0.000586226232349493	0.000165672630881378	6.3720242646684e-05	0.000101952388234694	0.000713666717642861	0.000344089310292094	0.000853851251465566	0.000203904776469389
Bacteroides_dorei	0	0.000178416679410715	0	0.000191160727940052	0.000764642911760208	0	0.000395065504409441	0.000471529795585462	0	0.028342763929245	0	0.000191160727940052	0.000497017892644135	0.00107050007646429	0.000497017892644135	0	0.000458785747056125	0.000713666717642861	0.000293113116174746	0	0	0.00107050007646429	0	0.000191160727940052	0
Roseburia_inulinivorans	0.00746801243819136	0.01460467961462	0.00186063108528317	0.00205179181322322	0.00601519090584697	0.00115970841616965	0.00248508946322068	0.0119029413264006	0.00160575011469644	0.0149232808278534	0.000981291736758934	0.00170770250293113	0.00387419075291839	0.0123234949278687	0.00884436967935974	0.000764642911760208	0.00118519651322832	0.0282790436865984	0.00684355406025386	0.0094178518631799	0.00140184533822705	0.0184024060763623	0.00144007748381506	0.019676810929296	0.0142351022072692
Bacteroides_vulgatus	0.0266987816689606	0.00104501197940562	0.00175867869704848	0.00967273283376663	0.0120303818116939	0.00188611918234185	0.00109598817352296	0	0.00217923229851659	0.00753173268083805	0	0.000624458377937503	0.00164398226028445	0.00312229188968752	0.000522505989702809	0	0.000369577407350767	0.0239715552836825	0	0	0	0.00261252994851404	0.00095580363970026	0.00513585155732273	0.00179691084263649
Bifidobacterium_longum	0.00939236376612122	0.00220472039557527	0.00412907172350512	0.0117117805984605	0.000547994086761482	0.0018351429882245	0.00801600652495285	0.00099403578528827	0.00251057756027935	0.00226844063822195	0.0260615792424938	0.025768466126319	0.00103226793087628	0.00184788703675384	0.000547994086761482	0.000140184533822705	0.000165672630881378	0.00373400621909568	0.000611714329408166	0.000152928582352042	0.00349186929703828	0.000293113116174746	0.00104501197940562	0.000726410766172198	0.00508487536320538
Haemophilus_pittmaniae	0	0.00137635724116837	0.000178416679410715	0.000293113116174746	0.000407809552938778	0.000229392873528062	0.0249401029719121	0	0	0	0	0	0	0.00347912524850895	0	0	0	0	0.000866595299994902	0	0.000547994086761482	0	0	0	0
Clostridiales_bacterium	0.000203904776469389	0	3.82321455880104e-05	0	0.000815619105877555	0	0	0.0242646683998573	0.000216648824998726	0.000242136922057399	0.000254880970586736	0.00028036906764541	0.000560738135290819	0.000446041698526788	0.000407809552938778	0	0.000140184533822705	0.000254880970586736	0.00031860121323342	0.00101952388234694	7.64642911760208e-05	0	8.92083397053576e-05	0.000101952388234694	0.00633379211908039
Treponema_succinifaciens	0.000242136922057399	0	0	0	0	0	0	0.000152928582352042	6.3720242646684e-05	7.64642911760208e-05	0.000101952388234694	5.09761941173472e-05	0.0205306621807616	0.000191160727940052	5.09761941173472e-05	0	0.000127440485293368	0.000191160727940052	0.000101952388234694	0	0	0	0	0	0.000739154814701534
Clostridiaceae_bacterium	0.000191160727940052	7.64642911760208e-05	0.00175867869704848	0.0129097211602182	0.00321150022939287	8.92083397053576e-05	0.000127440485293368	0.0145409593719733	0.00137635724116837	0.00220472039557527	0.000815619105877555	0.00194983942498853	0.0017331905999898	0.00247234541469134	0.0069964826426059	0	0.0191925370851812	0.00154202987204975	0.00163123821175511	0.000828363154406892	7.64642911760208e-05	0.000140184533822705	0.000127440485293368	0.00763368506907274	0.000191160727940052
Streptococcus_salivarius	0.000433297649997451	0.0185171025131264	0.000203904776469389	0.000254880970586736	0.00104501197940562	0.0188229596778305	0.000433297649997451	0.000726410766172198	0.00225569658969261	0.00205179181322322	0.00263801804557272	0.000751898863230871	0.0017331905999898	0.0023194168323393	0.000395065504409441	0	0.00386144670438905	0.00377223836468369	0.000713666717642861	0.000611714329408166	0.00127440485293368	0.0018351429882245	0.000344089310292094	0.000127440485293368	0.00063720242646684
Butyrivibrio_crossotus	0.000127440485293368	0.00117245246469899	0.00655044094407912	8.92083397053576e-05	0.000305857164704083	5.09761941173472e-05	0.000395065504409441	8.92083397053576e-05	6.3720242646684e-05	0.00152928582352042	5.09761941173472e-05	5.09761941173472e-05	0.000152928582352042	0.000152928582352042	0.000586226232349493	0	0.000522505989702809	8.92083397053576e-05	0.00137635724116837	0.000216648824998726	0.000165672630881378	0.0185808227557731	0.000407809552938778	0.00031860121323342	0.000713666717642861
Alistipes_putredinis	0.0020772799102819	0.000305857164704083	0.000509761941173472	0	0.000535250038232146	0	5.09761941173472e-05	0.00156751796910843	0.00206453586175256	0.000471529795585462	0.000407809552938778	0.000433297649997451	0.000828363154406892	0.0153948106234389	0.00132538104705103	0	0.000649946474996177	0.00035683335882143	0.000216648824998726	0.000203904776469389	0.000127440485293368	0.000216648824998726	0.000178416679410715	0.00303308354998216	0.0121578222969873
Bacteroides_intestinalis	0	0.00099403578528827	0.00163123821175511	8.92083397053576e-05	0	0	0	0.000293113116174746	0.000140184533822705	0.00031860121323342	0	0	0.000382321455880104	0.0140949176734465	0.000484273844114798	0	0.000165672630881378	0.00031860121323342	0.000191160727940052	0	0	0.000216648824998726	0	0	0
Lactobacillus_coleohominis	0	0	0	0	0	0	0	0	0	7.64642911760208e-05	0.000114696436764031	0.013623387877861	0	0.000229392873528062	0.000140184533822705	0	7.64642911760208e-05	0.000127440485293368	0.000114696436764031	0	0	0	0	0.000471529795585462	0
Blautia_faecis	0.000395065504409441	0.000127440485293368	0.0135978997808024	0.00128714890146302	0.000573482183820156	0.000101952388234694	0.000114696436764031	0.000165672630881378	0.000101952388234694	0.000293113116174746	0.000152928582352042	0	0.000395065504409441	8.92083397053576e-05	0.00103226793087628	0	0.000242136922057399	0.00119794056175766	6.3720242646684e-05	0.000178416679410715	0	0.00141458938675638	0.000114696436764031	0.000242136922057399	0.00138910128969771
Megasphaera_elsdenii	0.00118519651322832	0	0.000191160727940052	6.3720242646684e-05	0.000140184533822705	0.00132538104705103	0	0.00493194678085334	0	0.000509761941173472	0.0014528215323444	0.000395065504409441	0.0131008818881582	0.000764642911760208	0.00105775602793495	0	0.00031860121323342	0.0020772799102819	0.000484273844114798	0.000841107202936229	7.64642911760208e-05	0.00028036906764541	0.00850028036906765	0.00240862517204466	0.00161849416322577
Butyricicoccus_sp.	0	0	0.0127058163837488	0	0	0	0	0.000535250038232146	0	0.000649946474996177	0	0	0	0.00293113116174746	0.00137635724116837	0.000930315542641586	0	0.00331345261762757	0	0	0	0.00535250038232146	0	0.000509761941173472	0.0013508691441097
